Mutation Types	0bbc7ede-5022-4084-925c-d65baaf7abc2	2045c788-9ea8-4ea5-a5e3-65fc16a62adb	25224aa0-cfdd-48ec-92e5-8f3992a3e574	2fe2433b-9a55-431f-a869-2b5a63e8e8fc	448af8b4-e071-48b0-a65b-b4ad17afdc0c	45e16b70-c3ec-493e-86d1-505ffdf5056c	4c3840df-9824-40db-879e-6d24adc8c155	649f2c20-5b50-40a8-a6fd-9a51f3d5b9df	6962bc97-fbb8-4220-a600-e3c251e245cb	71a2b4a2-88dd-4911-a67e-70b3309c4a12	7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e	7dc5f8ba-0080-43d3-8426-bd527a970761	84e601b7-dfa5-4cd5-9fef-07f03967a0d4	89c48e53-c8a9-4518-b3b8-509cdcaff52b	96dc785c-8417-4813-8d15-c32b22d78b74	a762dd44-a8ac-4269-8163-bbf6d0f8d4b3	a96eddfc-3afb-4bf8-a440-c91778113fbd	b88f014e-bc0f-4775-8228-39e0b471c3b0	c48d7f4a-e98a-4077-a749-eb9f56f05b84	d18c6e64-9598-488a-8ab3-3652072f9277	e9cb8877-8e83-46c0-93f0-ea20530c9400	ee6cc68e-8d2a-41ee-82c6-0fecdf7e6259	fb0c6353-a90c-45e2-9355-7cd16cf756ff
5-8:LOH:1Mb-10Mb	1	4	9	0	0	3	0	2	0	0	2	1	2	1	0	1	0	0	0	0	1	0	6
5-8:LOH:10Mb-40Mb	2	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	3	1	0	1	0	1	0	0	12	0	3	0	0	1	0	0	21	0	0	7	0
9+:LOH:100kb-1Mb	0	0	2	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	20	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	1	9	4	2	0	9	0	1	2	4	0	0	0	0	0	0	0	0	4	3	2	0	1
2:het:100kb-1Mb	0	3	2	2	0	3	0	0	1	6	1	0	0	0	1	0	0	0	8	2	0	0	2
2:het:1Mb-10Mb	0	4	1	9	5	3	1	5	0	5	5	0	0	0	0	1	4	0	4	5	1	0	3
2:het:10Mb-40Mb	0	5	2	10	6	2	0	4	0	6	5	0	1	0	0	2	5	0	0	8	0	0	1
2:het:>40Mb	1	1	1	19	13	2	0	3	0	1	3	0	0	0	0	1	6	0	0	6	0	0	0
3-4:het:0-100kb	4	11	19	3	1	37	2	10	14	24	9	6	3	3	6	15	2	3	31	9	2	1	9
3-4:het:100kb-1Mb	6	1	22	5	2	30	3	10	10	26	20	5	7	4	2	1	6	6	44	9	5	0	13
3-4:het:1Mb-10Mb	3	20	19	6	5	47	12	14	15	29	27	10	12	2	2	20	21	5	33	5	4	5	17
3-4:het:10Mb-40Mb	6	4	12	4	1	20	6	19	14	11	21	19	12	2	7	12	12	7	22	2	3	11	18
3-4:het:>40Mb	5	1	3	1	4	2	7	8	7	6	11	9	13	9	11	10	7	8	7	2	8	14	11
5-8:het:0-100kb	10	12	26	2	0	42	5	12	10	29	18	22	6	1	11	5	3	11	22	6	5	15	14
5-8:het:100kb-1Mb	7	10	37	3	0	19	0	10	22	24	28	23	6	5	12	16	9	11	50	4	2	25	15
5-8:het:1Mb-10Mb	15	12	20	2	0	30	4	8	12	18	24	27	10	5	6	25	15	10	13	5	3	20	5
5-8:het:10Mb-40Mb	2	2	5	0	0	4	3	1	1	5	5	8	0	5	3	6	1	1	5	0	3	3	4
5-8:het:>40Mb	1	0	2	0	0	0	0	0	0	0	1	2	2	3	0	2	2	2	2	0	1	2	0
9+:het:0-100kb	5	3	43	0	0	12	0	17	0	1	9	20	7	1	14	1	11	10	9	4	0	0	1
9+:het:100kb-1Mb	15	0	47	0	0	10	1	16	0	0	24	18	12	0	3	7	16	10	11	4	1	0	0
9+:het:1Mb-10Mb	6	1	31	0	0	4	0	2	1	1	1	3	12	0	5	3	3	1	4	1	1	0	1
9+:het:10Mb-40Mb	0	0	1	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
