wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.07920257284990888,0.03855318216541964,1,1,
Classic,1,chr10,0.025756454710580853,0.03855318216541964,1,1,
Classic,1,chr11,0.024224873908018203,0.03855318216541964,1,1,
Classic,1,chr12,0.05075095784231443,0.03855318216541964,1,1,
Classic,1,chr13,0.04087867434307089,0.03855318216541964,1,1,
Classic,1,chr14,0.013764921069841743,0.03855318216541964,1,1,
Classic,1,chr15,0.040148197406147015,0.03855318216541964,1,1,
Classic,1,chr16,0.018454779610742315,0.03855318216541964,1,1,
Classic,1,chr17,0.06855930922167375,0.03855318216541964,1,1,
Classic,1,chr18,0.03577183553024349,0.03855318216541964,1,1,
Classic,1,chr19,0.027934145864175107,0.03855318216541964,1,1,
Classic,1,chr2,0.025446771786560882,0.03855318216541964,1,1,
Classic,1,chr20,0.04584228696740671,0.03855318216541964,1,1,
Classic,1,chr21,0.013490830874714836,0.03855318216541964,1,1,
Classic,1,chr22,0.011628879986562967,0.03855318216541964,1,1,
Classic,1,chr3,0.04532043667165318,0.03855318216541964,1,1,
Classic,1,chr4,0.036958166924692275,0.03855318216541964,1,1,
Classic,1,chr5,0.09562369487990804,0.03855318216541964,1,1,
Classic,1,chr6,0.04690655955449059,0.03855318216541964,1,1,
Classic,1,chr7,0.12487461208004175,0.03855318216541964,1,1,
Classic,1,chr8,0.10250747939446257,0.03855318216541964,1,1,
Classic,1,chr9,0.03479915241729283,0.03855318216541964,1,1,
Classic,2,chr1,0.07952587936854857,0.030798786022999985,1,1,
Classic,2,chr10,0.02261309083680619,0.030798786022999985,1,1,
Classic,2,chr11,0.02352521248498536,0.030798786022999985,1,1,
Classic,2,chr12,0.05866164263347209,0.030798786022999985,1,1,
Classic,2,chr13,0.04300945747026814,0.030798786022999985,1,1,
Classic,2,chr14,0.025691782529889153,0.030798786022999985,1,1,
Classic,2,chr15,0.017546484542494897,0.030798786022999985,1,1,
Classic,2,chr16,0.020203546643159615,0.030798786022999985,1,1,
Classic,2,chr17,0.06379213450615814,0.030798786022999985,1,1,
Classic,2,chr18,0.03294181004852108,0.030798786022999985,1,1,
Classic,2,chr19,0.021863100793590773,0.030798786022999985,1,1,
Classic,2,chr2,0.02563857412377108,0.030798786022999985,1,1,
Classic,2,chr20,0.05346743572117992,0.030798786022999985,1,1,
Classic,2,chr21,0.020858235381312984,0.030798786022999985,1,1,
Classic,2,chr22,0.004817391768588275,0.030798786022999985,1,1,
Classic,2,chr3,0.02865576199747889,0.030798786022999985,1,1,
Classic,2,chr4,0.018612303784119665,0.030798786022999985,1,1,
Classic,2,chr5,0.05889758318760714,0.030798786022999985,1,1,
Classic,2,chr6,0.07013373408000713,0.030798786022999985,1,1,
